id,date,primary_type,latitude,longitude,district_num,is_violent_crime,is_property_crime,crime_category,distance_from_center,hour,day_of_week,is_weekend,season,daily_crime_count,crimes_7day_avg
13067073,2023-02-10 12:19:00,NARCOTICS,41.95378308,-87.91510545,16,False,False,Drug,15.57,12,4,False,Winter,716,671.43
12964497,2023-01-26 16:15:00,MOTOR VEHICLE THEFT,41.8985904,-87.68024033,12,False,True,Property,2.96,16,3,False,Winter,602,657.71
12973736,2023-02-05 16:30:00,OTHER OFFENSE,41.73271665,-87.55408297,4,False,False,Other,10.78,16,6,True,Winter,639,639.29
12950978,2023-01-13 08:30:00,BATTERY,41.71215652,-87.63569031,22,True,False,Violent,11.47,8,4,False,Winter,703,685.71
12963344,2023-01-25 11:25:00,ROBBERY,41.65724454,-87.60032236,5,True,False,Violent,15.34,11,2,False,Winter,622,670.14
12949285,2023-01-11 15:00:00,MOTOR VEHICLE THEFT,41.75356717,-87.56457252,4,False,True,Property,9.24,15,2,False,Winter,760,687.71
12957203,2023-01-07 11:00:00,DECEPTIVE PRACTICE,41.67884794,-87.64560075,5,False,False,Other,13.79,11,5,True,Winter,716,757.57
12950320,2023-01-10 18:00:00,OTHER OFFENSE,41.93780722,-87.82305621,16,False,False,Other,10.76,18,1,False,Winter,665,677.57
12988340,2023-02-19 12:41:00,THEFT,41.67355412,-87.61641112,5,False,True,Property,14.15,12,6,True,Winter,731,666.14
12940944,2023-01-03 14:00:00,THEFT,41.92710134,-87.68043836,14,False,True,Property,4.27,14,1,False,Winter,742,835.0
13001752,2023-03-05 03:00:00,MOTOR VEHICLE THEFT,41.81557007,-87.69272065,9,False,True,Property,5.4,3,6,True,Spring,658,662.57
13004955,2023-03-08 22:00:00,MOTOR VEHICLE THEFT,41.70171845,-87.61849326,5,False,True,Property,12.2,22,2,False,Spring,645,649.0
12947571,2023-01-10 05:30:00,THEFT,41.88945317,-87.62799483,18,False,True,Property,0.79,5,1,False,Winter,665,677.57
12986864,2023-02-13 08:00:00,OTHER OFFENSE,41.94664872,-87.70208488,17,False,False,Other,6.02,8,0,False,Winter,660,674.71
